NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 17, 1966                                                                                    
ORIGIN TIME (Local)        :  16:41:00                                                                                            
LATITUDE                   :  -10.70                                                                                              
LONGITUDE                  :  -78.70                                                                                              
DEPTH (km)                 :  24.00                                                                                               
MAGNITUDE                  :  8.1 Mw                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  16:41:00
NUMBER OF SAMPLES          :      3283
MAXIMUM ACCELERATION       :   -180.56   -268.24     94.29
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
               T              EW              NS              UD
          0.0000        -11.3771        -13.1543          4.1991
          0.0200         -2.6551         -6.6753         -4.9569
          0.0400         -3.0481         -5.1973         -4.5209
          0.0600         -4.9621          2.5887          0.9491
          0.0800          0.2979          4.0947          9.0771
          0.1000          3.6239         -0.6473          6.9631
          0.1200        -10.0711          2.8327         -3.0019
          0.1400        -18.2221          6.1607         -9.2369
          0.1600          0.3719          1.2377        -10.0449
          0.1800          8.5069         -3.4773         -0.9529
          0.2000         -2.2541          1.3667          5.9311
          0.2200         -0.7521          7.4387          2.8821
          0.2400          4.3129          4.5367         -2.9659
          0.2600         -0.8331          2.8127         -8.7999
          0.2800         -1.6581         -1.2503         -9.3879
          0.3000          8.1169         -3.0623         -0.0839
          0.3200         11.2519          0.9987          6.8011
          0.3400          3.2079         -3.2563          4.6901
          0.3600         -1.4361         -2.6703          6.3781
          0.3800          0.2559          4.2197          7.2261
          0.4000          3.2759          1.4577          3.9761
          0.4200          5.6979          3.9937          2.2471
          0.4400          3.5819          9.4037          0.1731
          0.4600          0.6449          0.2677         -4.5819
          0.4800          2.1589         -4.9873         -7.4039
          0.5000          1.5529         -1.0903         -6.1619
          0.5200         -4.9821         -2.4093         -5.3489
          0.5400         -1.3781         -5.1703         -6.0059
          0.5600          0.8129         -1.8873          0.8561
          0.5800         -5.2291          3.5177          3.3081
          0.6000         -3.9711          2.6657         -3.7809
          0.6200          0.5579          1.8907         -8.6129
          0.6400          4.8379          8.6657         -5.2679
          0.6600          5.8359          7.0367          1.7511
          0.6800          0.7159         -0.6703         10.0261
          0.7000         -7.6411         -1.0653         16.7311
          0.7200         -6.4271          2.1367         11.6911
          0.7400          3.0609          7.4937          5.6761
          0.7600          1.5019         11.1987          4.6351
          0.7800         -3.6401          1.2557         -3.2679
          0.8000         -3.0841         -8.9823         -6.7309
          0.8200         -2.7701         -7.1103         -4.0209
          0.8400         -4.1301         -4.5383         -5.5249
          0.8600          1.0759         -6.9323         -7.3949
          0.8800          1.8739         -6.7083         -8.3479
          0.9000         -5.1471         -1.1993        -10.3599
          0.9200         -2.3431         -2.4213         -4.8319
          0.9400         -1.4801         -1.0293          8.3721
          0.9600         -5.2841         -1.7373         10.9731
          0.9800         -0.1131         -7.3593          3.8461
          1.0000          6.9399          0.2307         -0.3379
          1.0200          6.0049          6.8057          1.7011
          1.0400          1.4709          0.1167          4.0151
          1.0600         -2.0871         -3.3743          3.3221
          1.0800         -4.6201         -0.8213          3.3411
          1.1000         -2.0631          2.8587         -1.5149
          1.1200          4.0319          7.1947         -0.7349
          1.1400          3.6149          9.8667          5.3361
          1.1600         -3.0561          8.0567          9.6411
          1.1800         -6.7571          3.1077          6.4531
          1.2000         -7.5991          2.0197         -0.1599
          1.2200         -6.2611         -1.2363          2.4891
          1.2400          1.3189         -8.2713          1.5971
          1.2600          6.2799         -6.9223         -6.0089
          1.2800          3.0139          3.4827         -9.5859
          1.3000         -4.0311          4.9287         -7.4849
          1.3200         -3.4031          0.9917         -2.7269
          1.3400          1.4459          0.1407         -1.3909
          1.3600         -0.1191         -3.0633         -3.7549
          1.3800          1.3359         -4.5513         -2.4999
          1.4000          4.2929         -2.8363         -4.5139
          1.4200          1.2979         -3.4953         -9.1999
          1.4400         -3.2871         -5.2553         -3.3749
          1.4600         -1.8131         -4.0673          6.2801
          1.4800          3.0349         -2.2073          4.0321
          1.5000          0.2429         -1.3153          0.5051
          1.5200         -8.2261         -0.6853          4.0081
          1.5400        -11.9141         -0.1953          7.0791
          1.5600         -2.9521          2.3037          3.6521
          1.5800          4.6609          4.3547         -0.6989
          1.6000          2.9849          0.6057         -2.4149
          1.6200          7.2529         -4.8093         -6.1239
          1.6400         16.5139         -6.2843         -6.5989
          1.6600         11.5639         -4.5963         -0.5769
          1.6800         -0.3671         -0.8523         -0.8249
          1.7000          2.1899          3.1547         -5.5859
          1.7200          8.7179          3.6247         -8.0979
          1.7400          7.1579          1.8617         -3.1629
          1.7600          2.7319         -3.1243         -3.9959
          1.7800          0.0439         -7.3393         -4.4169
          1.8000          0.5379         -3.5343          2.2621
          1.8200          2.1379          0.4287         -2.8079
          1.8400          0.3069         -2.2463         -7.5049
          1.8600         -4.7451          2.3647          1.5981
          1.8800         -6.2141          3.8367         10.2301
          1.9000         -3.1681         -0.8053         14.0531
          1.9200         -2.5811          2.0957         21.3411
          1.9400         -4.7021          8.6667         27.7831
          1.9600         -3.7751         13.1467         20.5611
          1.9800          0.0699          6.0177          1.8981
          2.0000         -1.6411         -3.1253        -11.4509
          2.0200         -4.9371         -6.3503        -14.5429
          2.0400         -0.5561         -8.6803         -9.0429
          2.0600          0.4319         -8.4233          0.4221
          2.0800         -5.3761         -3.7803          0.9751
          2.1000         -9.6931         -0.4153         -7.2719
          2.1200        -12.0481          1.8957        -11.6089
          2.1400         -4.9551          8.9047        -12.5729
          2.1600          5.6799          6.4217        -11.0839
          2.1800          3.4269         -6.7773         -6.7659
          2.2000          0.1059         -9.8163         -4.5329
          2.2200          9.0249         -5.7693         -6.3389
          2.2400         17.0829         -5.7743         -4.2889
          2.2600         11.0889         -3.1053          0.9531
          2.2800          3.7909          1.7007          1.2371
          2.3000          2.7249          2.4387         -1.1609
          2.3200         -0.0751          1.5157          1.1591
          2.3400         -6.4131          0.5037         -0.2509
          2.3600         -7.3981         -0.9363         -9.0249
          2.3800         -1.6781         -3.3733        -10.9879
          2.4000          5.0219         -6.2073         -0.9989
          2.4200         10.8679         -6.5103          0.4371
          2.4400          5.4899         -2.3933         -3.9149
          2.4600         -1.4361         -1.8693         -0.7559
          2.4800          2.5649         -5.1213          6.6741
          2.5000         12.4339         -0.2093          7.8161
          2.5200         13.9739          8.3957          1.7851
          2.5400          3.1729          3.8777          2.5141
          2.5600         -0.6951         -2.0193         10.8991
          2.5800          6.1509          2.6467         12.9081
